date,symbol,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct
2023-01-24,SAIL,10:00,91.85,3629,333323.65,90.01299999999999,94.60549999999999,1.5,"BOLLINGER,DAILY-BIAS,DBL-BTM,MACD,RSI-EXT,VWAP-STDDEV",2,0.9436,RSI-EXT,"RSI-EXT: RSI=24.6 oversold, buy reversion",15:15,91.1,TIME_EXIT,LOSS,-3221.26,-0.97,51.7
2023-01-25,SONACOMS,09:15,434.4,767,333184.8,432.2,448.0,6.18,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,GAP-CONT,PDH-PDL,REL-STR,STOCHASTIC,VOL-SPIKE,VPOC",4,5.9592,VPOC,VPOC: breakout above VAH=434.40,09:30,448.0,TARGET_HIT,EXACT_WIN,9921.47,2.98,58.6
2023-01-27,BAJAJ-AUTO,09:15,3682.975,90,331467.75,3665.2375,3753.9249999999997,4.0,"CAMARILLA,DAILY-BIAS,FIRST-CANDLE,GAP-CONT,PDH-PDL,REL-STR,STOCHASTIC,VOL-SPIKE,VPOC",2,5.2969,CAMARILLA,CAMARILLA: breakout above H4=3682.97,09:20,3753.9249999999997,TARGET_HIT,EXACT_WIN,5881.31,1.77,58.9
2023-01-30,ITC,09:30,285.75612244897957,1166,333191.64,285.34183673469386,287.7683673469387,4.86,"CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,ORB-15,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC,VWAP-STDDEV",2,3.356,VPOC,VPOC: breakout above VAH=285.76,09:35,287.7683673469387,TARGET_HIT,EXACT_WIN,1842.94,0.55,47.3
2023-01-31,RADICO,10:10,1099.5132653061223,303,333152.52,1097.2173469387753,1109.6153061224488,4.4,"ADX-FILTER,BOLLINGER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,RSI-EXT,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",5,7.5061,VPOC,VPOC: breakout above VAH=1099.51,10:15,1109.6153061224488,TARGET_HIT,EXACT_WIN,2557.07,0.77,49.3
2023-02-01,NTPC,10:15,172.8,1929,333331.2,171.4,175.60000000000002,2.0,"ASC-TRI,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-30,PDH-PDL,RSI-EXT,SR-BREAK,STOCHASTIC,VWAP-REV",5,3.0061,ORB-30,ORB-30: breakout above 172.80 (range=1.40),12:00,171.4,STOP_HIT,LOSS,-3200.13,-0.96,51.2
2023-02-02,BRITANNIA,09:55,4503.0,74,333222.0,4355.61,4797.780000000001,2.0,"CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,GAP-CONT,ORB-15,ORB-30,PDH-PDL,STOCHASTIC,VOL-SPIKE,VPOC",5,4.9592,VOL-SPIKE,"VOL-SPIKE: price at resistance 4444.50, vol 2.1x avg",15:15,4566.0,TIME_EXIT,WIN,4156.79,1.25,59.2
2023-02-03,AAVAS,13:00,1996.65,166,331443.9,1886.5,2216.9500000000003,2.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,VOL-SPIKE,VPOC",5,5.8185,VOL-SPIKE,"VOL-SPIKE: price at resistance 1925.00, vol 2.1x avg",15:15,1999.3,TIME_EXIT,WIN,-59.55,-0.02,58.8
2023-02-06,M&MFIN,09:15,236.28250000000003,1410,333158.33,232.66625000000002,250.74750000000006,4.0,"CAMARILLA,DAILY-BIAS,FIRST-CANDLE,GAP-CONT,PDH-PDL,REL-STR,STOCHASTIC,VOL-SPIKE,VPOC",2,5.1094,CAMARILLA,CAMARILLA: breakout above H4=236.28,15:15,242.75,TIME_EXIT,WIN,8610.52,2.58,58.9
2023-02-07,INDIAMART,10:00,2348.1,141,331082.1,2327.65,2388.9999999999995,2.0,"ADX-FILTER,ASC-TRI,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",5,4.5998,ORB-30,ORB-30: breakout above 2348.10 (range=20.45),15:15,2357.2,TIME_EXIT,WIN,783.48,0.24,49.0
